Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
MCMK 4х240/120,"11 460,0","62,0","
№ 20б — 185 м№ 22б — 240 м№ 25 — 730 м№ 26 — 1050 м

",4
MCMK 4х25/16,"1 460,0","30,0","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",34
MCMK 4х35/16,"1 800,0","29,0","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",27
MCMK 4х50/25,"2 500,0","33,0","
№ 14а — 300 м№ 16 — 290 м№ 16а — 315 м№ 17а — 880 м№ 17 — 730 м№ 18 — 800 м№ 18а — 1070 м№ 20б — 670 м№ 20а — 1610 м№ 20 — 1190 м№ 22 — 1530 м№ 22а — 1290 м№ 22б — 880 м№ 22в — 1750 м

",20
"MCMK 4х6,0/6,0","480,0","19,0","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",104
MCMK 4х70/35,"3 360,0","36,0","
№ 14а — 270 м№ 16 — 270 м№ 17 — 650 м№ 17а — 785 м№ 18 — 710 м№ 18а — 950 м№ 20б — 600 м№ 20а — 1440 м№ 20 — 1060 м№ 22 — 1365 м№ 22а — 1150 м№ 22б — 785 м№ 22в — 1570 м

",14
MCMK 4х95/50,"4 600,0","41,0","
№ 16 — 200 м№ 18 — 520 м№ 20 — 780 м№ 20а — 1060 м№ 20б — 440 м№ 22в — 1155 м№ 22б — 575 м№ 22а — 845 м№ 22 — 1005 м№ 25 — 1760 м

",10
"NAYY 10х2,5 - 1кВ","525,0","20,1","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",95
"NAYY 12х2,5 - 1кВ","555,0","20,7","
№ 10 — 410 м№ 12 — 675 м№ 14а — 710 м№ 14 — 1300 м№ 16 — 725 м№ 16а — 730 м№ 17 — 1750 м№ 17а — 2100 м№ 18б — 2330 м№ 18а — 2555 м№ 18 — 1905 м№ 20 — 2840 м№ 20а — 3850 м№ 20б — 1605 м

",90
"NAYY 14х2,5 - 1кВ","603,0","21,6","
№ 10 — 410 м№ 12 — 675 м№ 14а — 710 м№ 14 — 1300 м№ 16 — 725 м№ 16а — 730 м№ 17 — 1750 м№ 17а — 2100 м№ 18б — 2330 м№ 18а — 2555 м№ 18 — 1905 м№ 20 — 2840 м№ 20а — 3850 м№ 20б — 1605 м

",82
"NAYY 19х2,5 - 1кВ","729,0","23,7","
№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",68
NAYY 1х10 - 1кВ,"139,0","10,3","
№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",359
NAYY 1х120 - 1кВ,"659,0","20,8","
№ 12 — 675 м№ 14а — 710 м№ 14 — 1300 м№ 16 — 725 м№ 16а — 730 м№ 17 — 1750 м№ 17а — 2100 м№ 18б — 2330 м№ 18а — 2555 м№ 18 — 1905 м№ 20 — 2840 м№ 20а — 3850 м№ 20б — 1605 м

",75
NAYY 1х150 - 1кВ,"798,0","23,0","
№ 14 — 1100 м№ 14а — 600 м№ 16а — 570 м№ 16 — 560 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",62
NAYY 1х16 - 1кВ,"176,0","11,5","
№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",284
NAYY 1х185 - 1кВ,"960,0","25,0","
№ 14 — 930 м№ 14а — 510 м№ 16а — 530 м№ 16 — 520 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",52
"NAYY 1х2,5 - 1кВ","68,0","7,4","
№ 8 — 1060 м№ 8а — 1845 м

",735
NAYY 1х240 - 1кВ,"1 202,0","27,9","
№ 14а — 440 м№ 16 — 460 м№ 17 — 1080 м№ 17а — 1300 м№ 18 — 1175 м№ 18а — 1580 м№ 20б — 990 м№ 20а — 2375 м№ 20 — 1750 м

",41
NAYY 1х25 - 1кВ,"226,0","12,8","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",221
NAYY 1х35 - 1кВ,"269,0","13,8","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",185
"NAYY 1х4,0 - 1кВ","95,0","8,7","
№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",526
NAYY 1х50 - 1кВ,"350,0","15,5","
№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17 — 3310 м№ 17а — 3975 м

",142
"NAYY 1х6,0 - 1кВ","112,0","9,3","
№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",446
NAYY 1х70 - 1кВ,"433,0","17,0","
№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17 — 2615 м№ 17а — 3140 м№ 18б — 3480 м№ 18а — 3815 м№ 18 — 2845 м

",115
NAYY 1х95 - 1кВ,"560,0","19,3","
№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",89
"NAYY 24х2,5 - 1кВ","936,0","27,3","
№ 14 — 800 м№ 14а — 440 м№ 16а — 470 м№ 16 — 460 м№ 17 — 1080 м№ 17а — 1300 м№ 18б — 1440 м№ 18а — 1580 м№ 18 — 1175 м№ 20 — 1750 м№ 20а — 2375 м№ 20б — 990 м

",53
NAYY 2х10 - 1кВ,"421,0","17,2","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",118
NAYY 2х120 - 1кВ,"2 530,0","40,6","
№ 16 — 200 м№ 18 — 520 м№ 20 — 780 м№ 20а — 1060 м№ 20б — 440 м№ 22в — 1155 м№ 22б — 575 м№ 22а — 845 м№ 22 — 1005 м№ 25 — 1760 м

",19
NAYY 2х150 - 1кВ,"3 195,0","45,8","
№ 16 — 175 м№ 18 — 435 м№ 20 — 650 м№ 20б — 365 м№ 22в — 960 м№ 22б — 480 м№ 22а — 705 м№ 22 — 840 м№ 25 — 1465 м№ 26 — 2090 м

",15
NAYY 2х16 - 1кВ,"560,0","19,7","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",89
NAYY 2х185 - 1кВ,"3 865,0","50,2","
№ 20 — 550 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",12
"NAYY 2х2,5 - 1кВ","230,0","13,0","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",217
NAYY 2х240 - 1кВ,"4 954,0","56,8","
№ 20б — 230 м№ 22а — 440 м№ 22б — 300 м№ 25 — 920 м№ 26 — 1315 м

",10
NAYY 2х25 - 1кВ,"802,0","23,4","
№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",62
NAYY 2х35 - 1кВ,"957,0","25,4","
№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",52
"NAYY 2х4,0 - 1кВ","300,0","14,7","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",166
NAYY 2х50 - 1кВ,"1 250,0","28,8","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",40
"NAYY 2х6,0 - 1кВ","343,0","15,7","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",145
NAYY 2х70 - 1кВ,"1 622,0","32,6","
№ 14а — 300 м№ 16 — 290 м№ 16а — 315 м№ 17а — 880 м№ 17 — 730 м№ 18 — 800 м№ 18а — 1070 м№ 20б — 670 м№ 20а — 1610 м№ 20 — 1190 м№ 22 — 1530 м№ 22а — 1290 м№ 22б — 880 м№ 22в — 1750 м

",30
NAYY 2х95 - 1кВ,"2 135,0","37,4","
№ 14а — 240 м№ 16 — 250 м№ 17 — 590 м№ 17а — 705 м№ 18 — 640 м№ 18а — 855 м№ 20б — 540 м№ 20а — 1290 м№ 20 — 950 м№ 22 — 1220 м№ 22а — 1030 м№ 22б — 704 м№ 22в — 1410 м

",23
"NAYY 30х2,5 - 1кВ","1 043,0","28,8","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",47
NAYY 3х10 - 1кВ,"463,0","18,1","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",107
"NAYY 3х10+1х6,0 - 1кВ","539,0","19,5","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",92
NAYY 3х120 - 1кВ,"2 380,0","41,5","
№ 16 — 200 м№ 18 — 520 м№ 20 — 780 м№ 20а — 1060 м№ 20б — 440 м№ 22в — 1155 м№ 22б — 575 м№ 22а — 845 м№ 22 — 1005 м№ 25 — 1760 м

",21
NAYY 3х120+1х70 - 1кВ,"2 823,0","44,2","
№ 16 — 190 м№ 18 — 480 м№ 20 — 710 м№ 20б — 400 м№ 22в — 1050 м№ 22б — 525 м№ 22а — 770 м№ 22 — 915 м№ 25 — 1600 м

",17
NAYY 3х150 - 1кВ,"2 902,0","45,5","
№ 16 — 175 м№ 18 — 435 м№ 20 — 650 м№ 20б — 365 м№ 22в — 960 м№ 22б — 480 м№ 22а — 705 м№ 22 — 840 м№ 25 — 1465 м№ 26 — 2090 м

",17
NAYY 3х150+1х70 - 1кВ,"3 259,0","47,6","
№ 16 — 165 м№ 20 — 595 м№ 20б — 335 м№ 22в — 885 м№ 22б — 440 м№ 22а — 645 м№ 22 — 770 м№ 25 — 1345 м№ 26 — 1920 м

",15
NAYY 3х16 - 1кВ,"619,0","20,7","
№ 10 — 410 м№ 12 — 675 м№ 14а — 710 м№ 14 — 1300 м№ 16 — 725 м№ 16а — 730 м№ 17 — 1750 м№ 17а — 2100 м№ 18б — 2330 м№ 18а — 2555 м№ 18 — 1905 м№ 20 — 2840 м№ 20а — 3850 м№ 20б — 1605 м

",80
NAYY 3х16+1х10 - 1кВ,"728,0","22,5","
№ 10 — 345 м№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",68
NAYY 3х185 - 1кВ,"3 453,0","49,6","
№ 16 — 150 м№ 20 — 550 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",14
