Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
ELKACABLE АПвБПнг(A)-HF 3х70/35ТАСг - 6кВ,"3 935,0","54,0","
№ 14а — 120 м№ 17 — 290 м№ 17а — 350 м№ 18 — 315 м№ 18а — 425 м№ 20б — 265 м№ 20а — 640 м№ 20 — 470 м№ 22 — 610 м№ 22а — 510 м№ 22б — 350 м№ 22в — 700 м№ 25 — 1060 м№ 26 — 1515 м

",12
ELKACABLE АПвБПнг(A)-HF 3х95/35ТАСг - 10кВ,"5 055,0","62,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",9
ELKACABLE АПвБПнг(A)-HF 3х95/35ТАСг - 20кВ,"6 465,0","72,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",7
ELKACABLE АПвБПнг(A)-HF 3х95/35ТАСг - 35кВ,"8 855,0","86,0","
№ 20б — 95 м№ 22а — 185 м№ 22б — 125 м№ 25 — 380 м№ 26 — 546 м

",5
ELKACABLE АПвБПнг(A)-HF 3х95/35ТАСг - 6кВ,"4 545,0","58,0","
№ 14а — 100 м№ 17 — 250 м№ 17а — 300 м№ 18 — 270 м№ 18а — 370 м№ 20б — 230 м№ 20а — 555 м№ 20 — 410 м№ 22 — 530 м№ 22а — 440 м№ 22б — 300 м№ 22в — 605 м№ 25 — 920 м№ 26 — 1315 м

",11
ELKACABLE АПвВ 3х120/35ТАСг - 10кВ,"3 000,0","60,0","
№ 14а — 95 м№ 17 — 235 м№ 17а — 280 м№ 18 — 255 м№ 18а — 340 м№ 20б — 215 м№ 20а — 520 м№ 20 — 380 м№ 22 — 490 м№ 22а — 415 м№ 22б — 280 м№ 22в — 565 м№ 25 — 860 м№ 26 — 1230 м

",16
ELKACABLE АПвВ 3х120/35ТАСг - 20кВ,"3 795,0","70,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",13
ELKACABLE АПвВ 3х120/35ТАСг - 35кВ,"5 075,0","84,0","
№ 20б — 110 м№ 22 — 245 м№ 22а — 205 м№ 22б — 140 м№ 22в — 280 м№ 25 — 430 м№ 26 — 610 м

",9
ELKACABLE АПвВ 3х120/35ТАСг - 6кВ,"2 715,0","56,0","
№ 14а — 110 м№ 17 — 270 м№ 17а — 320 м№ 18 — 290 м№ 18а — 395 м№ 20б — 248 м№ 20а — 595 м№ 20 — 435 м№ 22 — 565 м№ 22а — 475 м№ 22б — 325 м№ 22в — 650 м№ 25 — 990 м№ 26 — 1410 м

",18
ELKACABLE АПвВ 3х150/50ТАСг - 10кВ,"3 440,0","63,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",14
ELKACABLE АПвВ 3х150/50ТАСг - 20кВ,"4 280,0","73,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",11
ELKACABLE АПвВ 3х150/50ТАСг - 35кВ,"5 620,0","87,0","
№ 20б — 95 м№ 22а — 185 м№ 22б — 125 м№ 25 — 380 м№ 26 — 546 м

",8
ELKACABLE АПвВ 3х150/50ТАСг - 6кВ,"3 145,0","59,0","
№ 14а — 95 м№ 17 — 235 м№ 17а — 280 м№ 18 — 255 м№ 18а — 340 м№ 20б — 215 м№ 20а — 520 м№ 20 — 380 м№ 22 — 490 м№ 22а — 415 м№ 22б — 280 м№ 22в — 565 м№ 25 — 860 м№ 26 — 1230 м

",15
