Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
ELKACABLE ПвПу 3х185/50ТАСг - 20кВ,"4 795,0","77,0","
№ 20 — 215 м№ 20б — 120 м№ 22в — 320 м№ 22б — 160 м№ 22а — 235 м№ 22 — 275 м№ 25 — 485 м№ 26 — 690 м

",10
ELKACABLE ПвПу 3х185/50ТАСг - 35кВ,"6 250,0","91,0","
№ 20б — 85 м№ 22а — 165 м№ 22б — 115 м№ 25 — 340 м№ 26 — 490 м

",8
ELKACABLE ПвПу 3х185/50ТАСг - 6кВ,"3 590,0","63,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",13
ELKACABLE ПвПу 3х240/50ТАСг - 10кВ,"4 635,0","73,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",10
ELKACABLE ПвПу 3х240/50ТАСг - 20кВ,"5 590,0","82,0","
№ 20б — 110 м№ 22 — 245 м№ 22а — 205 м№ 22б — 140 м№ 22в — 280 м№ 25 — 430 м№ 26 — 610 м

",8
ELKACABLE ПвПу 3х240/50ТАСг - 35кВ,"7 085,0","96,0","
№ 20б — 80 м№ 22б — 100 м№ 25 — 310 м№ 26 — 442 м

",7
ELKACABLE ПвПу 3х240/50ТАСг - 6кВ,"4 325,0","69,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",11
ELKACABLE ПвПу 3х35/16ТАСг - 10кВ,"1 705,0","47,0","
№ 14 — 270 м№ 14а — 150 м№ 16а — 175 м№ 16 — 165 м№ 17 — 370 м№ 17а — 440 м№ 18б — 490 м№ 18а — 535 м№ 18 — 400 м№ 20 — 595 м№ 20а — 810 м№ 20б — 335 м№ 22в — 885 м№ 22б — 440 м№ 22а — 645 м№ 22 — 770 м№ 25 — 1345 м№ 26 — 1920 м

",29
ELKACABLE ПвПу 3х35/16ТАСг - 20кВ,"2 300,0","56,0","
№ 14а — 110 м№ 17 — 270 м№ 17а — 320 м№ 18 — 290 м№ 18а — 395 м№ 20б — 248 м№ 20а — 595 м№ 20 — 435 м№ 22 — 565 м№ 22а — 475 м№ 22б — 325 м№ 22в — 650 м№ 25 — 990 м№ 26 — 1410 м

",21
ELKACABLE ПвПу 3х35/16ТАСг - 6кВ,"1 470,0","42,0","
№ 12 — 185 м№ 14а — 195 м№ 14 — 355 м№ 16 — 200 м№ 16а — 210 м№ 17 — 480 м№ 17а — 575 м№ 18б — 640 м№ 18а — 700 м№ 18 — 520 м№ 20 — 780 м№ 20а — 1060 м№ 20б — 440 м№ 22в — 1155 м№ 22б — 575 м№ 22а — 845 м№ 22 — 1005 м№ 25 — 1760 м

",34
ELKACABLE ПвПу 3х50/35ТАСг - 10кВ,"1 935,0","49,0","
№ 14 — 250 м№ 14а — 140 м№ 16а — 155 м№ 16 — 150 м№ 17 — 340 м№ 17а — 405 м№ 18б — 450 м№ 18а — 495 м№ 18 — 370 м№ 20 — 550 м№ 20а — 750 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",25
ELKACABLE ПвПу 3х50/35ТАСг - 20кВ,"2 565,0","59,0","
№ 14а — 95 м№ 17 — 235 м№ 17а — 280 м№ 18 — 255 м№ 18а — 340 м№ 20б — 215 м№ 20а — 520 м№ 20 — 380 м№ 22 — 490 м№ 22а — 415 м№ 22б — 280 м№ 22в — 565 м№ 25 — 860 м№ 26 — 1230 м

",19
ELKACABLE ПвПу 3х50/35ТАСг - 35кВ,"3 695,0","73,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",13
ELKACABLE ПвПу 3х50/35ТАСг - 6кВ,"1 680,0","45,0","
№ 14 — 300 м№ 14а — 160 м№ 16а — 185 м№ 16 — 175 м№ 17 — 400 м№ 17а — 480 м№ 18б — 530 м№ 18а — 580 м№ 18 — 435 м№ 20 — 650 м№ 20а — 880 м№ 20б — 365 м№ 22в — 960 м№ 22б — 480 м№ 22а — 705 м№ 22 — 840 м№ 25 — 1465 м№ 26 — 2090 м

",29
ELKACABLE ПвПу 3х70/35ТАСг - 10кВ,"2 280,0","53,0","
№ 14а — 120 м№ 17а — 350 м№ 17 — 290 м№ 18 — 315 м№ 18а — 425 м№ 20б — 265 м№ 20а — 640 м№ 20 — 470 м№ 22 — 610 м№ 22а — 510 м№ 22б — 350 м№ 22в — 700 м№ 25 — 1060 м№ 26 — 1515 м

",21
ELKACABLE ПвПу 3х70/35ТАСг - 20кВ,"2 950,0","63,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",16
ELKACABLE ПвПу 3х70/35ТАСг - 35кВ,"4 150,0","77,0","
№ 20 — 215 м№ 20б — 120 м№ 22в — 320 м№ 22б — 160 м№ 22а — 235 м№ 22 — 275 м№ 25 — 485 м№ 26 — 690 м

",12
ELKACABLE ПвПу 3х70/35ТАСг - 6кВ,"2 000,0","49,0","
№ 14 — 250 м№ 14а — 140 м№ 16а — 155 м№ 16 — 150 м№ 17 — 340 м№ 17а — 405 м№ 18б — 450 м№ 18а — 495 м№ 18 — 370 м№ 20 — 550 м№ 20а — 750 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",25
ELKACABLE ПвПу 3х95/35ТАСг - 10кВ,"2 640,0","57,0","
№ 14а — 100 м№ 17 — 250 м№ 17а — 300 м№ 18 — 270 м№ 18а — 370 м№ 20б — 230 м№ 20а — 555 м№ 20 — 410 м№ 22 — 530 м№ 22а — 440 м№ 22б — 300 м№ 22в — 605 м№ 25 — 920 м№ 26 — 1315 м

",18
ELKACABLE ПвПу 3х95/35ТАСг - 20кВ,"3 360,0","67,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",14
ELKACABLE ПвПу 3х95/35ТАСг - 35кВ,"4 620,0","81,0","
№ 20б — 110 м№ 22в — 280 м№ 22б — 140 м№ 22а — 205 м№ 22 — 245 м№ 25 — 430 м№ 26 — 610 м

",10
ELKACABLE ПвПу 3х95/35ТАСг - 6кВ,"2 375,0","53,0","
№ 14а — 120 м№ 17а — 350 м№ 17 — 290 м№ 18 — 315 м№ 18а — 425 м№ 20б — 265 м№ 20а — 640 м№ 20 — 470 м№ 22 — 610 м№ 22а — 510 м№ 22б — 350 м№ 22в — 700 м№ 25 — 1060 м№ 26 — 1515 м

",21
"H05V-K 0,5","10,0","2,5","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",5 000
"H05V-K 0,75","12,0","2,7","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",4 166
"H05V-K 1,0","14,0","2,8","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",3 571
"H05V-U 0,5","8,0","2,3","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",6 250
"H05V-U 0,75","10,0","2,5","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",5 000
"H05V-U 1,0","14,0","2,7","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",3 571
"H07V-K 1,5","20,0","3,4","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",2 500
H07V-K 10,"115,0","6,8","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",434
H07V-K 120,"1 180,0","20,2","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14 — 1570 м№ 14а — 865 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",42
H07V-K 150,"1 600,0","22,5","
№ 8 — 90 м№ 8а — 155 м№ 10 — 345 м№ 12 — 570 м№ 14 — 1100 м№ 14а — 600 м№ 16 — 560 м№ 16а — 570 м№ 17а — 1765 м№ 17 — 1470 м№ 18 — 1600 м№ 18а — 2145 м№ 18б — 1957 м№ 20б — 1350 м№ 20а — 3260 м№ 20 — 2390 м

",31
H07V-K 16,"170,0","8,1","
№ 6 — 510 м№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",294
H07V-K 185,"2 100,0","24,9","
№ 8 — 75 м№ 8а — 135 м№ 10 — 295 м№ 12 — 480 м№ 14 — 930 м№ 14а — 510 м№ 16 — 520 м№ 16а — 530 м№ 17а — 1505 м№ 17 — 1250 м№ 18 — 1365 м№ 18а — 1830 м№ 18б — 1670 м№ 20б — 1150 м№ 20а — 2755 м№ 20 — 2030 м

",23
"H07V-K 2,5","32,0","4,1","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",1 562
H07V-K 240,"3 015,0","28,4","
№ 8 — 65 м№ 8а — 115 м№ 10 — 255 м№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17а — 1300 м№ 17 — 1080 м№ 18 — 1175 м№ 18а — 1580 м№ 18б — 1440 м№ 20б — 990 м№ 20а — 2375 м№ 20 — 1750 м

",16
H07V-K 25,"260,0","10,2","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",192
H07V-K 35,"360,0","11,7","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",138
"H07V-K 4,0","46,0","4,8","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",1 086
H07V-K 50,"515,0","13,9","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",97
