Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
ELKACABLE ПвПнг(A)-HF 3х95/35ТАСг - 6кВ,"5 340,0","56,0","
№ 14а — 110 м№ 17 — 270 м№ 17а — 320 м№ 18 — 290 м№ 18а — 395 м№ 20б — 248 м№ 20а — 595 м№ 20 — 435 м№ 22 — 565 м№ 22а — 475 м№ 22б — 325 м№ 22в — 650 м№ 25 — 990 м№ 26 — 1410 м

",9
ELKACABLE ПвПу 3х120/35ТАСг - 10кВ,"3 000,0","60,0","
№ 14а — 95 м№ 17 — 235 м№ 17а — 280 м№ 18 — 255 м№ 18а — 340 м№ 20б — 215 м№ 20а — 520 м№ 20 — 380 м№ 22 — 490 м№ 22а — 415 м№ 22б — 280 м№ 22в — 565 м№ 25 — 860 м№ 26 — 1230 м

",16
ELKACABLE ПвПу 3х120/35ТАСг - 20кВ,"3 795,0","70,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",13
ELKACABLE ПвПу 3х120/35ТАСг - 35кВ,"5 075,0","84,0","
№ 20б — 110 м№ 22 — 245 м№ 22а — 205 м№ 22б — 140 м№ 22в — 280 м№ 25 — 430 м№ 26 — 610 м

",9
ELKACABLE ПвПу 3х120/35ТАСг - 6кВ,"2 715,0","56,0","
№ 14а — 110 м№ 17 — 270 м№ 17а — 320 м№ 18 — 290 м№ 18а — 395 м№ 20б — 248 м№ 20а — 595 м№ 20 — 435 м№ 22 — 565 м№ 22а — 475 м№ 22б — 325 м№ 22в — 650 м№ 25 — 990 м№ 26 — 1410 м

",18
ELKACABLE ПвПу 3х150/50ТАСг - 10кВ,"3 440,0","63,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",14
ELKACABLE ПвПу 3х150/50ТАСг - 20кВ,"4 280,0","73,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",11
ELKACABLE ПвПу 3х150/50ТАСг - 35кВ,"5 620,0","87,0","
№ 20б — 95 м№ 22а — 185 м№ 22б — 125 м№ 25 — 380 м№ 26 — 546 м

",8
ELKACABLE ПвПу 3х150/50ТАСг - 6кВ,"3 145,0","59,0","
№ 14а — 95 м№ 17 — 235 м№ 17а — 280 м№ 18 — 255 м№ 18а — 340 м№ 20б — 215 м№ 20а — 520 м№ 20 — 380 м№ 22 — 490 м№ 22а — 415 м№ 22б — 280 м№ 22в — 565 м№ 25 — 860 м№ 26 — 1230 м

",15
ELKACABLE ПвПу 3х185/50ТАСг - 10кВ,"3 945,0","67,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",12
