Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
NYY 3х120+1х70 - 1кВ,"5 422,0","44,0","
№ 16 — 190 м№ 18 — 480 м№ 20 — 710 м№ 20б — 400 м№ 22в — 1050 м№ 22б — 525 м№ 22а — 770 м№ 22 — 915 м№ 25 — 1600 м

",9
NYY 3х150 - 1кВ,"5 646,0","45,5","
№ 16 — 175 м№ 18 — 435 м№ 20 — 650 м№ 20б — 365 м№ 22в — 960 м№ 22б — 480 м№ 22а — 705 м№ 22 — 840 м№ 25 — 1465 м№ 26 — 2090 м

",8
NYY 3х150+1х70 - 1кВ,"6 403,0","47,4","
№ 16 — 165 м№ 20 — 595 м№ 20б — 335 м№ 22в — 885 м№ 22б — 440 м№ 22а — 645 м№ 22 — 770 м№ 25 — 1345 м№ 26 — 1920 м

",7
NYY 3х16 - 1кВ,"915,0","20,8","
№ 10 — 410 м№ 12 — 675 м№ 14а — 710 м№ 14 — 1300 м№ 16 — 725 м№ 16а — 730 м№ 17 — 1750 м№ 17а — 2100 м№ 18б — 2330 м№ 18а — 2555 м№ 18 — 1905 м№ 20 — 2840 м№ 20а — 3850 м№ 20б — 1605 м

",54
NYY 3х16+1х10 - 1кВ,"1 080,0","22,6","
№ 10 — 345 м№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",46
NYY 3х185 - 1кВ,"6 869,0","49,9","
№ 16 — 150 м№ 20 — 550 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",7
NYY 3х185+1х95 - 1кВ,"7 913,0","51,8","
№ 20б — 285 м№ 22 — 655 м№ 22а — 550 м№ 22б — 375 м№ 22в — 750 м№ 25 — 1150 м№ 26 — 1635 м

",6
"NYY 3х2,5 - 1кВ","293,0","13,5","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",170
"NYY 3х2,5+1х1,5 - 1кВ","336,0","14,4","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",148
NYY 3х240 - 1кВ,"8 745,0","55,4","
№ 20б — 248 м№ 22а — 475 м№ 22б — 325 м№ 25 — 990 м№ 26 — 1410 м

",5
NYY 3х240+1х120 - 1кВ,"10 164,0","58,0","
№ 20б — 230 м№ 22а — 440 м№ 22б — 300 м№ 25 — 920 м№ 26 — 1315 м

",4
NYY 3х25 - 1кВ,"1 396,0","25,1","
№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",35
NYY 3х25+1х16 - 1кВ,"1 582,0","26,5","
№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17 — 1080 м№ 17а — 1300 м№ 18б — 1440 м№ 18а — 1580 м№ 18 — 1175 м№ 20 — 1750 м№ 20а — 2375 м№ 20б — 990 м

",31
NYY 3х35 - 1кВ,"1 757,0","27,3","
№ 14 — 800 м№ 14а — 440 м№ 16а — 470 м№ 16 — 460 м№ 17 — 1080 м№ 17а — 1300 м№ 18б — 1440 м№ 18а — 1580 м№ 18 — 1175 м№ 20 — 1750 м№ 20а — 2375 м№ 20б — 990 м

",28
NYY 3х35+1х16 - 1кВ,"1 826,0","28,9","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",27
"NYY 3х4,0 - 1кВ","397,0","15,4","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",125
"NYY 3х4,0+1х2,5 - 1кВ","440,0","16,1","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",113
NYY 3х50 - 1кВ,"2 130,0","30,8","
№ 14 — 615 м№ 14а — 335 м№ 16а — 360 м№ 16 — 350 м№ 17 — 830 м№ 17а — 995 м№ 18б — 1100 м№ 18а — 1205 м№ 18 — 900 м№ 20 — 1340 м№ 20а — 1820 м№ 20б — 760 м№ 22в — 1990 м№ 22б — 990 м№ 22а — 1455 м№ 22 — 1730 м

",23
NYY 3х50+1х25 - 1кВ,"2 485,0","32,7","
№ 14а — 300 м№ 16 — 290 м№ 16а — 315 м№ 17а — 880 м№ 17 — 730 м№ 18 — 800 м№ 18а — 1070 м№ 20б — 670 м№ 20а — 1610 м№ 20 — 1190 м№ 22 — 1530 м№ 22а — 1290 м№ 22б — 880 м№ 22в — 1750 м

",20
"NYY 3х6,0 - 1кВ","483,0","16,4","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",103
"NYY 3х6,0+1х4,0 - 1кВ","566,0","17,7","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",88
NYY 3х70 - 1кВ,"2 861,0","34,4","
№ 14а — 300 м№ 16 — 290 м№ 17 — 730 м№ 17а — 880 м№ 18 — 800 м№ 18а — 1070 м№ 20б — 670 м№ 20а — 1610 м№ 20 — 1190 м№ 22 — 1530 м№ 22а — 1290 м№ 22б — 880 м№ 22в — 1750 м

",17
NYY 3х70+1х35 - 1кВ,"3 259,0","35,9","
№ 14а — 270 м№ 16 — 270 м№ 17 — 650 м№ 17а — 785 м№ 18 — 710 м№ 18а — 950 м№ 20б — 600 м№ 20а — 1440 м№ 20 — 1060 м№ 22 — 1365 м№ 22а — 1150 м№ 22б — 785 м№ 22в — 1570 м

",15
NYY 3х95 - 1кВ,"3 768,0","38,5","
№ 16 — 230 м№ 18 — 580 м№ 20 — 859 м№ 20а — 1165 м№ 20б — 486 м№ 22в — 1270 м№ 22б — 635 м№ 22а — 930 м№ 22 — 1100 м№ 25 — 1940 м

",13
NYY 3х95+1х50 - 1кВ,"4 329,0","40,4","
№ 16 — 230 м№ 18 — 580 м№ 20 — 859 м№ 20а — 1165 м№ 20б — 486 м№ 22в — 1270 м№ 22б — 635 м№ 22а — 930 м№ 22 — 1100 м№ 25 — 1940 м

",11
"NYY 4х1,5 - 1кВ","269,0","13,2","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",185
NYY 4х10 - 1кВ,"791,0","19,7","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",63
NYY 4х120 - 1кВ,"5 976,0","45,2","
№ 16 — 175 м№ 18 — 435 м№ 20 — 650 м№ 20б — 365 м№ 22в — 960 м№ 22б — 480 м№ 22а — 705 м№ 22 — 840 м№ 25 — 1465 м№ 26 — 2090 м

",8
NYY 4х150 - 1кВ,"7 262,0","48,8","
№ 16 — 150 м№ 20 — 550 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",6
NYY 4х16 - 1кВ,"1 120,0","22,6","
№ 10 — 345 м№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",44
NYY 4х185 - 1кВ,"8 843,0","53,0","
№ 20б — 265 м№ 22 — 610 м№ 22а — 510 м№ 22б — 350 м№ 22в — 700 м№ 25 — 1060 м№ 26 — 1515 м

",5
"NYY 4х2,5 - 1кВ","341,0","14,4","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",146
NYY 4х240 - 1кВ,"11 466,0","59,6","
№ 20б — 215 м№ 22а — 415 м№ 22б — 280 м№ 25 — 860 м№ 26 — 1230 м

",4
NYY 4х25 - 1кВ,"1 719,0","27,4","
№ 14 — 800 м№ 14а — 440 м№ 16а — 470 м№ 16 — 460 м№ 17 — 1080 м№ 17а — 1300 м№ 18б — 1440 м№ 18а — 1580 м№ 18 — 1175 м№ 20 — 1750 м№ 20а — 2375 м№ 20б — 990 м

",29
NYY 4х35 - 1кВ,"2 193,0","30,0","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",22
"NYY 4х4,0 - 1кВ","468,0","16,5","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",106
