Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
NYY 2х10 - 1кВ,"550,0","17,3","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",90
NYY 2х16 - 1кВ,"758,0","19,7","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",65
"NYY 2х2,5 - 1кВ","260,0","12,9","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",192
NYY 2х25 - 1кВ,"1 144,0","23,8","
№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17 — 1470 м№ 17а — 1765 м№ 18б — 1957 м№ 18а — 2145 м№ 18 — 1600 м№ 20 — 2390 м№ 20а — 3260 м№ 20б — 1350 м

",43
NYY 2х35 - 1кВ,"1 422,0","25,8","
№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",35
"NYY 2х4,0 - 1кВ","347,0","14,7","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",144
NYY 2х50 - 1кВ,"1 827,0","28,8","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",27
"NYY 2х6,0 - 1кВ","416,0","15,7","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",120
"NYY 30х1,5 - 1кВ","1 090,0","25,6","
№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",45
"NYY 30х2,5 - 1кВ","1 499,0","28,7","
№ 14 — 700 м№ 14а — 380 м№ 16а — 410 м№ 16 — 400 м№ 17 — 940 м№ 17а — 1130 м№ 18б — 1250 м№ 18а — 1370 м№ 18 — 1025 м№ 20 — 1530 м№ 20а — 2070 м№ 20б — 864 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",33
"NYY 3х1,5 - 1кВ","233,0","12,4","
№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",214
NYY 3х10 - 1кВ,"653,0","18,2","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",76
"NYY 3х10+1х6,0 - 1кВ","766,0","19,7","
№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17 — 2120 м№ 17а — 2540 м№ 18б — 2820 м№ 18а — 3090 м№ 18 — 2306 м

",65
NYY 3х120 - 1кВ,"4 583,0","41,5","
№ 16 — 200 м№ 18 — 520 м№ 20 — 780 м№ 20а — 1060 м№ 20б — 440 м№ 22в — 1155 м№ 22б — 575 м№ 22а — 845 м№ 22 — 1005 м№ 25 — 1760 м

",10
