Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
"H07V-K 6,0","65,0","5,3","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",769
H07V-K 70,"710,0","16,0","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",70
H07V-K 95,"940,0","18,2","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14 — 1940 м№ 14а — 1070 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",53
"H07V-R 1,5","20,0","3,3","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",2 500
H07V-R 10,"115,0","6,7","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",434
H07V-R 120,"1 200,0","18,8","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14а — 865 м№ 14 — 1570 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",41
H07V-R 150,"1 470,0","20,9","
№ 8 — 105 м№ 8а — 185 м№ 10 — 410 м№ 12 — 675 м№ 14а — 710 м№ 14 — 1300 м№ 16 — 725 м№ 16а — 730 м№ 17а — 2100 м№ 17 — 1750 м№ 18 — 1905 м№ 18а — 2555 м№ 18б — 2330 м№ 20б — 1605 м№ 20а — 3850 м№ 20 — 2840 м

",34
H07V-R 16,"175,0","7,8","
№ 6 — 510 м№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",285
H07V-R 185,"1 806,0","23,3","
№ 8 — 90 м№ 8а — 155 м№ 10 — 345 м№ 12 — 570 м№ 14а — 600 м№ 14 — 1100 м№ 16 — 560 м№ 16а — 570 м№ 17а — 1765 м№ 17 — 1470 м№ 18 — 1600 м№ 18а — 2145 м№ 18б — 1957 м№ 20б — 1350 м№ 20а — 3260 м№ 20 — 2390 м

",27
"H07V-R 2,5","31,0","4,0","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",1 612
H07V-R 240,"2 330,0","26,6","
№ 8 — 65 м№ 8а — 115 м№ 10 — 255 м№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17а — 1300 м№ 17 — 1080 м№ 18 — 1175 м№ 18а — 1580 м№ 18б — 1440 м№ 20б — 990 м№ 20а — 2375 м№ 20 — 1750 м

",21
H07V-R 25,"275,0","9,7","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",181
H07V-R 300,"2 929,0","29,6","
№ 10 — 220 м№ 12 — 360 м№ 14а — 380 м№ 14 — 700 м№ 16 — 400 м№ 16а — 410 м№ 17а — 1130 м№ 17 — 940 м№ 18 — 1025 м№ 18а — 1370 м№ 18б — 1250 м№ 20б — 864 м№ 20а — 2070 м№ 20 — 1530 м№ 22в — 2260 м№ 22б — 1130 м№ 22а — 1650 м№ 22 — 1970 м

",17
H07V-R 35,"370,0","10,9","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",135
"H07V-R 4,0","46,0","4,6","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",1 086
H07V-R 400,"3 750,0","33,2","
№ 10 — 175 м№ 12 — 280 м№ 14а — 300 м№ 14 — 550 м№ 16 — 290 м№ 16а — 315 м№ 17а — 880 м№ 17 — 730 м№ 18 — 800 м№ 18а — 1070 м№ 18б — 975 м№ 20б — 670 м№ 20а — 1610 м№ 20 — 1190 м№ 22в — 1750 м№ 22б — 880 м№ 22а — 1290 м№ 22 — 1530 м

",13
H07V-R 50,"500,0","12,8","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",100
"H07V-R 6,0","65,0","5,2","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",769
H07V-R 70,"710,0","14,6","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",70
H07V-R 95,"970,0","17,1","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14а — 1070 м№ 14 — 1940 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",51
