Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
"NYM 3G4,0","273,0","11,9","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",183
"NYM 3G6,0","363,0","13,3","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",137
"NYM 3х1,5","146,0","9,2","
№ 6 — 510 м№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",342
NYM 3х10,"571,0","16,3","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",87
NYM 3х16,"845,0","19,2","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14 — 1570 м№ 14а — 865 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",59
"NYM 3х2,5","198,0","10,4","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",252
NYM 3х25,"1 251,0","22,8","
№ 8 — 90 м№ 8а — 155 м№ 10 — 345 м№ 12 — 570 м№ 14 — 1100 м№ 14а — 600 м№ 16 — 560 м№ 16а — 570 м№ 17а — 1765 м№ 17 — 1470 м№ 18 — 1600 м№ 18а — 2145 м№ 18б — 1957 м№ 20б — 1350 м№ 20а — 3260 м№ 20 — 2390 м

",39
NYM 3х35,"1 628,0","25,4","
№ 8 — 75 м№ 8а — 135 м№ 10 — 295 м№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17а — 1505 м№ 17 — 1250 м№ 18 — 1365 м№ 18а — 1830 м№ 18б — 1670 м№ 20б — 1150 м№ 20а — 2755 м№ 20 — 2030 м

",30
"NYM 3х4,0","273,0","11,9","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",183
"NYM 3х6,0","363,0","13,3","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",137
"NYM 4G1,5","172,0","9,9","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",290
NYM 4G10,"696,0","17,8","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14 — 1940 м№ 14а — 1070 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",71
NYM 4G16,"1 038,0","21,0","
№ 8 — 105 м№ 8а — 185 м№ 10 — 410 м№ 12 — 675 м№ 14 — 1300 м№ 14а — 710 м№ 16 — 725 м№ 16а — 730 м№ 17а — 2100 м№ 17 — 1750 м№ 18 — 1905 м№ 18а — 2555 м№ 18б — 2330 м№ 20б — 1605 м№ 20а — 3850 м№ 20 — 2840 м

",48
"NYM 4G2,5","235,0","11,2","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",212
NYM 4G25,"1 575,0","25,4","
№ 8 — 75 м№ 8а — 135 м№ 10 — 295 м№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17а — 1505 м№ 17 — 1250 м№ 18 — 1365 м№ 18а — 1830 м№ 18б — 1670 м№ 20б — 1150 м№ 20а — 2755 м№ 20 — 2030 м

",31
NYM 4G35,"2 019,0","27,8","
№ 8 — 65 м№ 8а — 115 м№ 10 — 255 м№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17а — 1300 м№ 17 — 1080 м№ 18 — 1175 м№ 18а — 1580 м№ 18б — 1440 м№ 20б — 990 м№ 20а — 2375 м№ 20 — 1750 м

",24
"NYM 4G4,0","342,0","13,3","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",146
"NYM 4G6,0","457,0","14,8","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",109
"NYM 4х1,5","172,0","9,9","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",290
NYM 4х10,"696,0","17,8","
№ 8 — 160 м№ 8а — 280 м№ 10 — 620 м№ 12 — 1010 м№ 14 — 1940 м№ 14а — 1070 м№ 16 — 1250 м№ 16а — 1270 м№ 17а — 3140 м№ 17 — 2615 м№ 18 — 2845 м№ 18а — 3815 м№ 18б — 3480 м

",71
NYM 4х16,"1 038,0","21,0","
№ 8 — 105 м№ 8а — 185 м№ 10 — 410 м№ 12 — 675 м№ 14 — 1300 м№ 14а — 710 м№ 16 — 725 м№ 16а — 730 м№ 17а — 2100 м№ 17 — 1750 м№ 18 — 1905 м№ 18а — 2555 м№ 18б — 2330 м№ 20б — 1605 м№ 20а — 3850 м№ 20 — 2840 м

",48
"NYM 4х2,5","235,0","11,2","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",212
NYM 4х25,"1 575,0","25,4","
№ 8 — 75 м№ 8а — 135 м№ 10 — 295 м№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17а — 1505 м№ 17 — 1250 м№ 18 — 1365 м№ 18а — 1830 м№ 18б — 1670 м№ 20б — 1150 м№ 20а — 2755 м№ 20 — 2030 м

",31
NYM 4х35,"2 019,0","27,8","
№ 8 — 65 м№ 8а — 115 м№ 10 — 255 м№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17а — 1300 м№ 17 — 1080 м№ 18 — 1175 м№ 18а — 1580 м№ 18б — 1440 м№ 20б — 990 м№ 20а — 2375 м№ 20 — 1750 м

",24
"NYM 4х4,0","342,0","13,3","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",146
"NYM 4х6,0","457,0","14,8","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",109
