Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
NYM 1G25,"325,0","13,0","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",153
"NYM 1G4,0","80,0","6,6","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",625
"NYM 1G6,0","105,0","7,1","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",476
"NYM 1х1,5","45,0","5,4","
№ 6 — 1650 м№ 8 — 2080 м№ 8а — 3600 м

",1 111
NYM 1х10,"155,0","8,4","
№ 6 — 510 м№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",322
NYM 1х16,"230,0","9,5","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",217
"NYM 1х2,5","70,0","6,0","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",714
NYM 1х25,"325,0","13,0","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",153
"NYM 1х4,0","80,0","6,6","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",625
"NYM 1х6,0","105,0","7,1","
№ 6 — 840 м№ 8 — 1060 м№ 8а — 1845 м

",476
"NYM 2х1,5","127,0","8,9","
№ 6 — 510 м№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",393
NYM 2х10,"496,0","16,1","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",100
NYM 2х16,"725,0","19,0","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14 — 1570 м№ 14а — 865 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",68
"NYM 2х2,5","186,0","10,5","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",268
NYM 2х25,"1 092,0","23,0","
№ 8 — 90 м№ 8а — 155 м№ 10 — 345 м№ 12 — 570 м№ 14 — 1100 м№ 14а — 600 м№ 16 — 560 м№ 16а — 570 м№ 17а — 1765 м№ 17 — 1470 м№ 18 — 1600 м№ 18а — 2145 м№ 18б — 1957 м№ 20б — 1350 м№ 20а — 3260 м№ 20 — 2390 м

",45
NYM 2х35,"1 419,0","25,8","
№ 8 — 75 м№ 8а — 135 м№ 10 — 295 м№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17а — 1505 м№ 17 — 1250 м№ 18 — 1365 м№ 18а — 1830 м№ 18б — 1670 м№ 20б — 1150 м№ 20а — 2755 м№ 20 — 2030 м

",35
"NYM 2х4,0","248,0","11,9","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",201
"NYM 2х6,0","323,0","13,3","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14 — 3210 м№ 14а — 1760 м

",154
"NYM 3G1,5","146,0","9,2","
№ 6 — 510 м№ 8 — 640 м№ 8а — 1115 м№ 10 — 2490 м

",342
NYM 3G10,"571,0","16,3","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",87
NYM 3G16,"845,0","19,2","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14 — 1570 м№ 14а — 865 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",59
"NYM 3G2,5","198,0","10,4","
№ 6 — 410 м№ 8 — 520 м№ 8а — 905 м№ 10 — 2010 м№ 12 — 3096 м

",252
NYM 3G25,"1 251,0","22,8","
№ 8 — 90 м№ 8а — 155 м№ 10 — 345 м№ 12 — 570 м№ 14 — 1100 м№ 14а — 600 м№ 16 — 560 м№ 16а — 570 м№ 17а — 1765 м№ 17 — 1470 м№ 18 — 1600 м№ 18а — 2145 м№ 18б — 1957 м№ 20б — 1350 м№ 20а — 3260 м№ 20 — 2390 м

",39
NYM 3G35,"1 628,0","25,4","
№ 8 — 75 м№ 8а — 135 м№ 10 — 295 м№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17а — 1505 м№ 17 — 1250 м№ 18 — 1365 м№ 18а — 1830 м№ 18б — 1670 м№ 20б — 1150 м№ 20а — 2755 м№ 20 — 2030 м

",30
