Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
ELKACABLE ПвП 3х185/50ТАСг - 6кВ,"3 590,0","63,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",13
ELKACABLE ПвП 3х240/50ТАСг - 10кВ,"4 635,0","73,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",10
ELKACABLE ПвП 3х240/50ТАСг - 20кВ,"5 590,0","82,0","
№ 20б — 110 м№ 22 — 245 м№ 22а — 205 м№ 22б — 140 м№ 22в — 280 м№ 25 — 430 м№ 26 — 610 м

",8
ELKACABLE ПвП 3х240/50ТАСг - 35кВ,"7 085,0","96,0","
№ 20б — 80 м№ 22б — 100 м№ 25 — 310 м№ 26 — 442 м

",7
ELKACABLE ПвП 3х240/50ТАСг - 6кВ,"4 325,0","69,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",11
ELKACABLE ПвП 3х35/16ТАСг - 10кВ,"1 705,0","47,0","
№ 14 — 270 м№ 14а — 150 м№ 16а — 175 м№ 16 — 165 м№ 17 — 370 м№ 17а — 440 м№ 18б — 490 м№ 18а — 535 м№ 18 — 400 м№ 20 — 595 м№ 20а — 810 м№ 20б — 335 м№ 22в — 885 м№ 22б — 440 м№ 22а — 645 м№ 22 — 770 м№ 25 — 1345 м№ 26 — 1920 м

",29
ELKACABLE ПвП 3х35/16ТАСг - 20кВ,"2 300,0","56,0","
№ 14а — 110 м№ 17 — 270 м№ 17а — 320 м№ 18 — 290 м№ 18а — 395 м№ 20б — 248 м№ 20а — 595 м№ 20 — 435 м№ 22 — 565 м№ 22а — 475 м№ 22б — 325 м№ 22в — 650 м№ 25 — 990 м№ 26 — 1410 м

",21
ELKACABLE ПвП 3х35/16ТАСг - 6кВ,"1 470,0","42,0","
№ 12 — 185 м№ 14а — 195 м№ 14 — 355 м№ 16 — 200 м№ 16а — 210 м№ 17 — 480 м№ 17а — 575 м№ 18б — 640 м№ 18а — 700 м№ 18 — 520 м№ 20 — 780 м№ 20а — 1060 м№ 20б — 440 м№ 22в — 1155 м№ 22б — 575 м№ 22а — 845 м№ 22 — 1005 м№ 25 — 1760 м

",34
ELKACABLE ПвП 3х50/35ТАСг - 10кВ,"1 935,0","49,0","
№ 14 — 250 м№ 14а — 140 м№ 16а — 155 м№ 16 — 150 м№ 17 — 340 м№ 17а — 405 м№ 18б — 450 м№ 18а — 495 м№ 18 — 370 м№ 20 — 550 м№ 20а — 750 м№ 20б — 310 м№ 22в — 815 м№ 22б — 405 м№ 22а — 600 м№ 22 — 710 м№ 25 — 1240 м№ 26 — 1765 м

",25
ELKACABLE ПвП 3х50/35ТАСг - 20кВ,"2 565,0","59,0","
№ 14а — 95 м№ 17 — 235 м№ 17а — 280 м№ 18 — 255 м№ 18а — 340 м№ 20б — 215 м№ 20а — 520 м№ 20 — 380 м№ 22 — 490 м№ 22а — 415 м№ 22б — 280 м№ 22в — 565 м№ 25 — 860 м№ 26 — 1230 м

",19
