Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
NAYY 3х185+1х95 - 1кВ,"3 913,0","51,6","
№ 20б — 285 м№ 22 — 655 м№ 22а — 550 м№ 22б — 375 м№ 22в — 750 м№ 25 — 1150 м№ 26 — 1635 м

",12
"NAYY 3х2,5 - 1кВ","248,0","13,5","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",201
"NAYY 3х2,5+1х2,5 - 1кВ","282,0","14,4","
№ 8 — 265 м№ 8а — 460 м№ 10 — 1030 м№ 12 — 1660 м№ 14а — 1760 м№ 14 — 3210 м

",177
NAYY 3х240 - 1кВ,"4 409,0","55,8","
№ 20б — 248 м№ 22а — 475 м№ 22б — 325 м№ 25 — 990 м№ 26 — 1410 м

",11
NAYY 3х240+1х120 - 1кВ,"4 968,0","58,0","
№ 20б — 230 м№ 22а — 440 м№ 22б — 300 м№ 25 — 920 м№ 26 — 1315 м

",10
NAYY 3х25 - 1кВ,"892,0","24,7","
№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",56
NAYY 3х25+1х16 - 1кВ,"984,0","26,1","
№ 12 — 480 м№ 14а — 510 м№ 14 — 930 м№ 16 — 520 м№ 16а — 530 м№ 17 — 1250 м№ 17а — 1505 м№ 18б — 1670 м№ 18а — 1830 м№ 18 — 1365 м№ 20 — 2030 м№ 20а — 2755 м№ 20б — 1150 м

",50
NAYY 3х35 - 1кВ,"1 071,0","26,9","
№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17 — 1080 м№ 17а — 1300 м№ 18б — 1440 м№ 18а — 1580 м№ 18 — 1175 м№ 20 — 1750 м№ 20а — 2375 м№ 20б — 990 м

",46
NAYY 3х35+1х16 - 1кВ,"1 183,0","28,4","
№ 14 — 800 м№ 14а — 440 м№ 16а — 470 м№ 16 — 460 м№ 17 — 1080 м№ 17а — 1300 м№ 18б — 1440 м№ 18а — 1580 м№ 18 — 1175 м№ 20 — 1750 м№ 20а — 2375 м№ 20б — 990 м

",42
"NAYY 3х4,0 - 1кВ","325,0","15,4","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14а — 1350 м№ 14 — 2455 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",153
