Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
"NYM 5G1,5","204,0","10,6","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",245
NYM 5G10,"843,0","19,4","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14 — 1570 м№ 14а — 865 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",59
NYM 5G16,"1 289,0","23,3","
№ 8 — 90 м№ 8а — 155 м№ 10 — 345 м№ 12 — 570 м№ 14 — 1100 м№ 14а — 600 м№ 16 — 560 м№ 16а — 570 м№ 17а — 1765 м№ 17 — 1470 м№ 18 — 1600 м№ 18а — 2145 м№ 18б — 1957 м№ 20б — 1350 м№ 20а — 3260 м№ 20 — 2390 м

",38
"NYM 5G2,5","280,0","12,2","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",178
NYM 5G25,"1 924,0","27,7","
№ 8 — 65 м№ 8а — 115 м№ 10 — 255 м№ 12 — 415 м№ 14а — 440 м№ 14 — 800 м№ 16 — 460 м№ 16а — 470 м№ 17а — 1300 м№ 17 — 1080 м№ 18 — 1175 м№ 18а — 1580 м№ 18б — 1440 м№ 20б — 990 м№ 20а — 2375 м№ 20 — 1750 м

",25
NYM 5G35,"2 509,0","30,8","
№ 10 — 195 м№ 12 — 320 м№ 14а — 335 м№ 14 — 615 м№ 16 — 350 м№ 16а — 360 м№ 17а — 995 м№ 17 — 830 м№ 18 — 900 м№ 18а — 1205 м№ 18б — 1100 м№ 20б — 760 м№ 20а — 1820 м№ 20 — 1340 м№ 22в — 1990 м№ 22б — 990 м№ 22а — 1455 м№ 22 — 1730 м

",19
"NYM 5G4,0","427,0","14,8","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",117
"NYM 5G6,0","550,0","16,1","
№ 8 — 200 м№ 8а — 355 м№ 10 — 790 м№ 12 — 1270 м№ 14 — 2455 м№ 14а — 1350 м№ 16 — 1550 м№ 16а — 1560 м№ 17а — 3975 м№ 17 — 3310 м

",90
"NYM 5х1,5","204,0","10,6","
№ 6 — 285 м№ 8 — 360 м№ 8а — 630 м№ 10 — 1400 м№ 12 — 2270 м

",245
NYM 5х10,"843,0","19,4","
№ 8 — 130 м№ 8а — 225 м№ 10 — 500 м№ 12 — 815 м№ 14 — 1570 м№ 14а — 865 м№ 16 — 875 м№ 16а — 880 м№ 17а — 2540 м№ 17 — 2120 м№ 18 — 2306 м№ 18а — 3090 м№ 18б — 2820 м

",59
